ObjectID,Department,ObjectNumber,PrimaryDisplay,Image File Name,Rank,URL
172,American Decorative Arts,10.125.676,0,17692.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/17692.jpg
172,American Decorative Arts,10.125.676,0,ADA4065.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/ADA4065.jpg
173,American Decorative Arts,10.125.677,1,85W_ACF3136R3.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/85W_ACF3136R3.jpg
173,American Decorative Arts,10.125.677,0,41177.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/41177.jpg
174,American Decorative Arts,10.125.691,0,17607.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/17607.jpg
174,American Decorative Arts,10.125.691,0,85B_ACF107R7.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/85B_ACF107R7.jpg
174,American Decorative Arts,10.125.691,1,DT235352.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/DT235352.jpg
174,American Decorative Arts,10.125.691,0,10663.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/10663.jpg
177,American Decorative Arts,18.110.54,1,57959.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/57959.jpg
179,American Decorative Arts,23.80.6,0,52518.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/52518.jpg
179,American Decorative Arts,23.80.6,1,85D_ACF134R6.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/85D_ACF134R6.jpg
180,American Decorative Arts,23.80.7,1,52524.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/52524.jpg
182,American Decorative Arts,25.115.18,0,61554.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/61554.jpg
182,American Decorative Arts,25.115.18,1,ADA3882.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/ADA3882.jpg
183,American Decorative Arts,25.115.19,1,2511519new.jpg,0,https://images.metmuseum.org/CRDImages/ad/original/2511519new.jpg
183,American Decorative Arts,25.115.19,0,MM47030.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/MM47030.jpg
184,American Decorative Arts,25.115.36,0,217192.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/217192.jpg
184,American Decorative Arts,25.115.36,0,217191.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/217191.jpg
184,American Decorative Arts,25.115.36,1,ADA3126.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/ADA3126.jpg
184,American Decorative Arts,25.115.36,0,ADA3127.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/ADA3127.jpg
184,American Decorative Arts,25.115.36,0,ADA3128.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/ADA3128.jpg
184,American Decorative Arts,25.115.36,0,DT340531.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/DT340531.jpg
184,American Decorative Arts,25.115.36,0,61528.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/61528.jpg
184,American Decorative Arts,25.115.36,0,60252.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/60252.jpg
185,American Decorative Arts,26.144,1,63807.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/63807.jpg
186,American Decorative Arts,30.120.72,0,80985.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/80985.jpg
186,American Decorative Arts,30.120.72,1,85D_ACF138R8.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/85D_ACF138R8.jpg
187,American Decorative Arts,30.120.73,0,80932.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/80932.jpg
187,American Decorative Arts,30.120.73,1,ADA4218.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/ADA4218.jpg
188,American Decorative Arts,31.44.8,1,85259.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/85259.jpg
189,American Decorative Arts,31.44.9,0,85776.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/85776.jpg
189,American Decorative Arts,31.44.9,1,134954.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/134954.jpg
190,American Decorative Arts,32.107,1,90509.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/90509.jpg
191,American Decorative Arts,34.100.27,1,97149.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/97149.jpg
192,American Decorative Arts,39.184.15,1,124685.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/124685.jpg
192,American Decorative Arts,39.184.15,0,120110.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/120110.jpg
193,American Decorative Arts,41.111,0,132859.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/132859.jpg
193,American Decorative Arts,41.111,0,124516.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/124516.jpg
193,American Decorative Arts,41.111,1,85B_ACF101BR10.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/85B_ACF101BR10.jpg
193,American Decorative Arts,41.111,0,85B_ACF101R8.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/85B_ACF101R8.jpg
193,American Decorative Arts,41.111,0,41_111_Finial.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/41_111_Finial.jpg
193,American Decorative Arts,41.111,0,41_111_TurnedArmchair.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/41_111_TurnedArmchair.jpg
193,American Decorative Arts,41.111,0,41_111_Back.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/41_111_Back.jpg
194,American Paintings and Sculpture,50.130.154ss,0,262310.jpg,61,https://images.metmuseum.org/CRDImages/ap/original/262310.jpg
194,American Paintings and Sculpture,50.130.154ss,1,50.130.154ss.jpg,1,https://images.metmuseum.org/CRDImages/ap/original/50.130.154ss.jpg
195,American Decorative Arts,47.103.9,1,139002.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/139002.jpg
199,American Decorative Arts,48.135.92,1,142515.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/142515.jpg
200,American Decorative Arts,51.12.2,1,DT163.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/DT163.jpg
200,American Decorative Arts,51.12.2,0,85B_ACF102R8.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/85B_ACF102R8.jpg
200,American Decorative Arts,51.12.2,0,51_12_2_TurnedGreatChair.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/51_12_2_TurnedGreatChair.jpg
200,American Decorative Arts,51.12.2,0,51_12_2_Finial.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/51_12_2_Finial.jpg
200,American Decorative Arts,51.12.2,0,51_12_2_Back.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/51_12_2_Back.jpg
201,American Decorative Arts,52.77.47,0,153615.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/153615.jpg
201,American Decorative Arts,52.77.47,1,85B_ACF103R10.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/85B_ACF103R10.jpg
201,American Decorative Arts,52.77.47,0,52_77_47_TurnedGreatChair.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/52_77_47_TurnedGreatChair.jpg
201,American Decorative Arts,52.77.47,0,52_77_47_Back.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/52_77_47_Back.jpg
201,American Decorative Arts,52.77.47,0,52_77_47_Finial.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/52_77_47_Finial.jpg
202,American Decorative Arts,52.77.49,0,153776.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/153776.jpg
202,American Decorative Arts,52.77.49,0,153777.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/153777.jpg
202,American Decorative Arts,52.77.49,1,85B_ACF104R7.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/85B_ACF104R7.jpg
202,American Decorative Arts,52.77.49,0,216920.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/216920.jpg
203,American Decorative Arts,52.77.55,0,153619.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/153619.jpg
